Dijkstra_algorithm
complete_graph
nodes;edges;time
10;45;1
60;1770;21
110;5995;53
160;12720;99
210;21945;171
260;33670;230
310;47895;337
360;64620;565
410;83845;554
460;105570;886
510;129795;761
560;156520;835
610;185745;1105
660;217470;1318
710;251695;1270
760;288420;1451
810;327645;1589
860;369370;1848
910;413595;2090
960;460320;2317
1010;509545;2590

connected_graph
nodes;edges;time
10;29;1
60;779;23
110;2529;52
160;5279;104
210;9029;146
260;13779;223
310;19529;335
360;26279;366
410;34029;613
460;42779;625
510;52529;684
560;63279;785
610;75029;988
660;87779;1128
710;101529;1271
760;116279;1444
810;132029;1678
860;148779;1789
910;166529;2107
960;185279;2241
1010;205029;2674

sparse_graph
nodes;edges;time
10;9;0
60;59;12
110;109;33
160;159;65
210;209;112
260;259;158
310;309;229
360;359;365
410;409;380
460;459;464
510;509;574
560;559;716
610;609;849
660;659;1090
710;709;1097
760;759;1608
810;809;1635
860;859;1662
910;909;1767
960;959;2033
1010;1009;2285

Floyd_Warshell_algorithm
complete_graph
nodes;edges;time
10;45;2
60;1770;455
110;5995;2857
160;12720;8917
210;21945;19185
260;33670;36917
310;47895;64121
360;64620;98780
410;83845;143924
460;105570;206554
510;129795;289469
560;156520;370738
610;185745;489629
660;217470;620074
710;251695;769369
760;288420;942917
810;327645;1147525
860;369370;1371306
910;413595;1627410
960;460320;1900179
1010;509545;2208977

connected_graph
nodes;edges;time
10;29;2
60;779;476
110;2529;3058
160;5279;8657
210;9029;19942
260;13779;37397
310;19529;63952
360;26279;100045
410;34029;147865
460;42779;218547
510;52529;281466
560;63279;409519
610;75029;499102
660;87779;621607
710;101529;775022
760;116279;952276
810;132029;1142343
860;148779;1375149
910;166529;1622237
960;185279;1908558
1010;205029;2237194

sparse_graph
nodes;edges;time
10;9;2
60;59;469
110;109;2783
160;159;8557
210;209;19031
260;259;37198
310;309;62793
360;359;114272
410;409;144479
460;459;204202
510;509;275982
560;559;370105
610;609;479375
660;659;609424
710;709;758636
760;759;937499
810;809;1143906
860;859;1363089
910;909;1617375
960;959;1903797
1010;1009;2208426

Ford_Bellman_function
complete_graph
nodes;edges;time
10;45;2
60;1770;491
110;5995;2967
160;12720;9428
210;21945;21292
260;33670;39364
310;47895;66140
360;64620;105543
410;83845;156922
460;105570;237791
510;129795;320686
560;156520;397211
610;185745;510683
660;217470;647024
710;251695;807656
760;288420;1000781
810;327645;1207611
860;369370;1432583
910;413595;1693561
960;460320;2011419
1010;509545;2337749

connected_graph
nodes;edges;time
10;29;4
60;779;207
110;2529;1366
160;5279;3836
210;9029;8988
260;13779;16429
310;19529;28032
360;26279;42688
410;34029;63725
460;42779;90047
510;52529;123794
560;63279;161322
610;75029;207550
660;87779;265840
710;101529;330995
760;116279;405160
810;132029;490662
860;148779;586300
910;166529;692486
960;185279;808017
1010;205029;994617

sparse_graph
nodes;edges;time
10;9;0
60;59;18
110;109;60
160;159;126
210;209;217
260;259;331
310;309;467
360;359;677
410;409;1091
460;459;1081
510;509;1526
560;559;1680
610;609;2196
660;659;2213
710;709;2668
760;759;3160
810;809;3828
860;859;3967
910;909;4405
960;959;4773
1010;1009;5417
